Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Color,Owner_Type,Mileage_kmpl,Price_Lakh,Provider,Policy_Number,Expiry_Date,Status,Owner_Name,Contact,City,Purchase_Year,Sale_Price_Lakh,Sale_Date,Service_Type,Service_Date,Service_Cost,Service_Center
C1100,Kia,Polo,2007,CNG,Automatic,White,Third,10.7,33.36,"Bajaj Allianz",POL197419,2023-06-05,Active,Owner_100,"+91 9310888109",Mumbai,2016,20.13,2023-01-27,"Engine Repair",2023-03-01,15963,Mechanix
C1101,Renault,Seltos,2006,CNG,Manual,Black,Fourth,17.95,47.15,"Bajaj Allianz",POL980262,2023-04-15,Active,Owner_101,"+91 9661009938",Mumbai,2024,45.45,2022-01-21,"Engine Repair",2022-10-30,15962,Pitstop
C1102,Ford,Nexon,2023,Petrol,Manual,White,First,23.71,27.51,"SBI General",POL779279,2023-07-10,Expired,Owner_102,"+91 9430708938",Chennai,2007,43.7,2023-01-18,"Battery Replacement",2022-09-05,8338,Mechanix
C1103,Maruti,Seltos,2009,Electric,Manual,Blue,Third,10.21,24.97,"TATA AIG",POL519580,2024-10-25,Expired,Owner_103,"+91 9274473338",Lucknow,2007,28.14,2022-07-18,"Battery Replacement",2022-03-08,2950,AutoCare
C1104,Mahindra,Swift,2019,Electric,Automatic,Silver,First,23.71,47.32,"HDFC Ergo",POL489528,2024-02-03,Expired,Owner_104,"+91 9644207306",Kolkata,2011,42.69,2023-04-07,"Engine Repair",2022-11-29,14491,AutoCare
C1105,Ford,Seltos,2011,CNG,Manual,Grey,Second,14.61,48.09,"Reliance General",POL184895,2024-11-28,Expired,Owner_105,"+91 9747232992",Ahmedabad,2024,33.73,2023-04-17,"Engine Repair",2021-07-17,15303,CarZ
C1106,Ford,Creta,2011,CNG,Manual,White,Fourth,13.44,32.89,"HDFC Ergo",POL442647,2023-12-08,Active,Owner_106,"+91 9807461032",Lucknow,2019,47.05,2022-08-28,"Battery Replacement",2022-04-02,6954,Mechanix
C1107,Mahindra,Ecosport,2019,Hybrid,Manual,Black,Third,13.03,24.87,"SBI General",POL974645,2024-06-13,Active,Owner_107,"+91 9667933292",Lucknow,2023,6.42,2023-05-01,"Full Service",2022-01-06,5982,"Speed Garage"
C1108,Honda,Seltos,2024,Electric,Automatic,White,Second,12.06,37.67,"Bajaj Allianz",POL874121,2024-06-25,Expired,Owner_108,"+91 9887461239",Chennai,2012,4.42,2022-10-30,"Oil Change",2022-09-11,9336,CarZ
C1109,Mahindra,City,2024,Petrol,Manual,Silver,Third,16.27,40.9,"ICICI Lombard",POL915981,2024-06-03,Active,Owner_109,"+91 9357954942",Lucknow,2016,19.6,2022-07-25,"Brake Service",2023-12-15,9703,Mechanix
C1110,Renault,Ecosport,2005,Diesel,Manual,Green,Third,21.65,40.01,"HDFC Ergo",POL847308,2024-02-16,Expired,Owner_110,"+91 9153039435",Ahmedabad,2011,37.45,2022-08-05,"Oil Change",2023-08-31,19516,AutoCare
